WARNING: 3 open meshes merged
     Merged: Main Wing
     Merged: HStab
     Merged: LERX
...Mass Properties...
60 Num Comps
60 Total Num Meshes
51856 Total Num Tris

1.273432640527971e+03             Total Mass
2.408794901353383e+01 3.464725023598797e-03 6.819298935034950e-03       Center of Gravity
2.720494074389293e+04 1.804988489147481e+05 2.014925654883151e+05       Ixx, Iyy, Izz
-7.774922882939462e+01 2.334714032755478e+01 3.806194582431203e+01       Ixy, Ixz, Iyz
1.273432640527971e+03             Volume

Name	Mass	cgX	cgY	cgZ	Ixx	Iyy	Izz	Ixy	Ixz	Iyz	Volume
AIM 9X (outboard)	9.024910507156578e-01	3.418161136076139e+01	1.826279383106879e+01	4.217490789962497e-01	2.540613148856249e-02	1.072580206475454e+01	1.073540498151397e+01	1.382778902023156e-02	-1.109882841873502e-02	1.132054807753666e-04	9.024910507156578e-01
AIM 9X (outboard)	9.024910507156578e-01	3.418161136076139e+01	-1.826279383106879e+01	4.217490789962495e-01	2.511195250433365e-02	1.072571279374577e+01	1.073520007353851e+01	-1.381738049241221e-02	-1.126110270433140e-02	-2.788270326192420e-04	9.024910507156578e-01
STRK - MK83 JDAM (fuse mounted)	3.699276419854308e+00	2.614731239967966e+01	2.753450356493306e+00	-1.106167276179896e+00	8.410072434828637e-01	2.053374215805207e+01	2.067625270620903e+01	2.016878116414892e-03	-3.644610290508368e-02	1.183495824608678e-02	3.699276419854308e+00
STRK - MK83 JDAM (fuse mounted)	3.699276419854308e+00	2.614731239967965e+01	-2.753450356493307e+00	-1.106167276179896e+00	9.015057678684495e-01	2.055235652734402e+01	2.071813686130267e+01	6.961954845162893e-03	-2.818285269943997e-02	1.625146431391515e-02	3.699276419854308e+00
STRK - MK83 JDAM (wing mounted)	7.419266255560535e+00	2.860334919769787e+01	7.021393568255904e+00	-1.534633594786988e+00	1.679411300375715e+00	8.960503314966893e+01	9.003842320161482e+01	-3.284248415935428e-02	-6.596928606716189e-02	1.259544766538182e-01	7.419266255560535e+00
STRK - MK83 JDAM (wing mounted)	7.419266255560532e+00	2.860334919769789e+01	-7.021393568255912e+00	-1.534633594786991e+00	1.717162697150756e+00	8.960432755646242e+01	9.007688019159625e+01	-1.380593840409809e-01	-6.765255854212091e-02	-1.382597049830843e-01	7.419266255560532e+00
AIM 9X (outboard)	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00
AIM 9X (outboard)	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00
Drop tank	5.960479100313572e+01	2.788492698023659e+01	-7.310864275028650e-17	-3.250000000000005e+00	6.078091774016546e+01	1.005799962970137e+03	1.008618395624554e+03	1.457942159784340e+00	-1.426963398308824e+00	1.242235127392876e+00	5.960479100313572e+01
Drop tank	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00
Fuselage	6.164015025089104e+02	2.242243078654497e+01	-4.751059431594607e-17	1.128762063476409e-01	2.137440434987117e+03	8.704070391308999e+04	8.682472308429058e+04	-4.412823130700884e+00	8.367992002493226e+02	1.340505970699331e+01	6.164015025089104e+02
F135-PW-100 ENGINE	4.635297779698502e+00	6.603706071741546e+00	8.748840335783158e-01	-1.312649533481421e+00	1.122926206911650e+01	1.004411697314704e+03	1.012927106459355e+03	-2.354745844354075e+01	-4.943297135077418e+00	3.400376764354110e+00	4.635297779698502e+00
Main Fan	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00
Main Fan	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00
