Name, Theo_Area, Wet_Area, Theo_Vol, Wet_Vol
VStab_S_Surf0,Lower Rudder,11.124588,5.564908
VStab_S_Surf0,Upper Rudder,10.281646,5.121117
VStab_S_Surf1,Lower Rudder,11.124588,5.607281
VStab_S_Surf1,Upper Rudder,10.281646,5.049354
HStab_S_Surf0,Inboard Elevators,8.516236,8.516236
HStab_S_Surf0,Outboard Elevators,15.077496,15.077496
HStab_S_Surf1,Inboard Elevators,8.516236,8.516236
HStab_S_Surf1,Outboard Elevators,15.077496,15.077496

SS_Name, SS_Theo_Area, SS_Wet_Area
Main Wing,Inboard flaps,46.656315,46.178170
Main Wing,Flaperons,48.677208,48.677208
Main Wing,Ailerons,47.576211,47.576211
Main Wing,LE Slats,50.067437,50.033291
VStab,Lower Rudder,22.249175,11.172190
VStab,Upper Rudder,20.563293,10.170472
HStab,Inboard Elevators,17.032473,17.032473
HStab,Outboard Elevators,30.154991,30.154991
