...Comp Geom...
32 Num Comps
61 Total Num Meshes
50640 Total Num Tris

Theo_Area   Wet_Area   Theo_Vol    Wet_Vol  Name
       25.034         25.017    Main Wing_S_Surf1,LE Slats
       11.125          5.565    VStab_S_Surf0,Lower Rudder
       10.282          5.121    VStab_S_Surf0,Upper Rudder
       11.125          5.607    VStab_S_Surf1,Lower Rudder
       10.282          5.049    VStab_S_Surf1,Upper Rudder
        8.516          8.516    HStab_S_Surf0,Inboard Elevators
       15.077         15.077    HStab_S_Surf0,Outboard Elevators
        8.516          8.516    HStab_S_Surf1,Inboard Elevators
       15.077         15.077    HStab_S_Surf1,Outboard Elevators

 SS_Theo_Area    SS_Wet_Area    SS_Name
       46.656         46.178    Main Wing,Inboard flaps
       48.677         48.677    Main Wing,Flaperons
       47.576         47.576    Main Wing,Ailerons
       50.067         50.033    Main Wing,LE Slats
       22.249         11.172    VStab,Lower Rudder
       20.563         10.170    VStab,Upper Rudder
       17.032         17.032    HStab,Inboard Elevators
       30.155         30.155    HStab,Outboard Elevators
WARNING: 1 open meshes merged
     Merged: LERX
