2 0.000000 100.000000 5791.461216
219 172 
1 -150.000000 0.000000 -151.500000 99.618800 -0.002644 8.715695 0.000013 
2 180.000000 0.000000 -151.500000 99.619085 -0.011002 8.711270 0.000015 
3 180.000000 0.000000 151.500000 99.620642 0.013715 8.709303 -0.000012 
4 -150.000000 0.000000 151.500000 99.620254 0.003070 8.715652 -0.000016 
5 15.000000 0.000000 0.000000 99.499383 0.077503 1.450479 0.009776 
6 -150.000000 0.000000 0.000000 99.619559 0.000254 8.716465 -0.000003 
7 15.000000 0.000000 -151.500000 99.617391 -0.009661 8.713183 0.000046 
8 180.000000 0.000000 0.000000 99.656272 -0.110964 8.293265 -0.000016 
9 15.000000 0.000000 151.500000 99.621988 0.010709 8.712758 -0.000045 
10 -67.500000 0.000000 -75.750000 99.616711 -0.007643 8.716011 0.000054 
11 -150.000000 0.000000 -75.750000 99.618855 -0.002029 8.716124 0.000011 
12 -67.500000 0.000000 -151.500000 99.617998 -0.005580 8.715126 0.000030 
13 15.000000 0.000000 -75.750000 99.611260 -0.026667 8.705720 0.000181 
14 -67.500000 0.000000 0.000000 99.619815 0.000510 8.719250 -0.000013 
15 97.500000 0.000000 -75.750000 99.617964 -0.024467 8.698429 0.000060 
16 97.500000 0.000000 -151.500000 99.618231 -0.011182 8.711473 0.000032 
17 180.000000 0.000000 -75.750000 99.619983 -0.021239 8.700866 0.000015 
18 97.500000 0.000000 0.000000 99.700927 -0.142854 7.776670 -0.000077 
19 -67.500000 0.000000 75.750000 99.622675 0.008491 8.715848 -0.000064 
20 -150.000000 0.000000 75.750000 99.620240 0.002510 8.716092 -0.000016 
21 15.000000 0.000000 75.750000 99.629411 0.028693 8.704099 -0.000178 
22 -67.500000 0.000000 151.500000 99.621168 0.006220 8.714997 -0.000033 
23 -26.250000 0.000000 -37.875000 99.607752 -0.025075 8.716902 0.000231 
24 -67.500000 0.000000 -37.875000 99.616879 -0.006336 8.717784 0.000048 
25 -26.250000 0.000000 -75.750000 99.613475 -0.016211 8.713576 0.000123 
26 15.000000 0.000000 -37.875000 99.585055 -0.085159 8.674100 0.000757 
27 -26.250000 0.000000 0.000000 99.620705 0.000441 8.734150 -0.000057 
28 97.500000 0.000000 75.750000 99.624080 0.029462 8.690808 -0.000049 
29 180.000000 0.000000 75.750000 99.622659 0.030694 8.684980 -0.000010 
30 97.500000 0.000000 151.500000 99.621365 0.012930 8.710396 -0.000029 
31 56.250000 0.000000 -37.875000 99.613606 -0.059134 8.648821 0.000232 
32 56.250000 0.000000 -75.750000 99.614649 -0.027633 8.699168 0.000125 
33 97.500000 0.000000 -37.875000 99.621422 -0.044414 8.657962 0.000061 
34 56.250000 0.000000 0.000000 99.710447 -0.052882 7.645253 -0.000063 
35 -26.250000 0.000000 37.875000 99.632900 0.026779 8.716292 -0.000269 
36 -67.500000 0.000000 37.875000 99.622666 0.007300 8.717661 -0.000067 
37 15.000000 0.000000 37.875000 99.658351 0.080183 8.667540 -0.000692 
38 -26.250000 0.000000 75.750000 99.626353 0.017477 8.713083 -0.000133 
39 -5.625000 0.000000 -18.937500 99.563520 -0.096410 8.719241 0.001107 
40 -26.250000 0.000000 -18.937500 99.607795 -0.023424 8.724539 0.000217 
41 -5.625000 0.000000 -37.875000 99.593124 -0.051265 8.707270 0.000539 
42 15.000000 0.000000 -18.937500 99.486468 -0.225562 8.539372 0.002947 
43 -5.625000 0.000000 0.000000 99.623718 -0.002548 8.835375 -0.000295 
44 56.250000 0.000000 37.875000 99.635121 0.065750 8.622405 -0.000151 
45 97.500000 0.000000 37.875000 99.631547 0.059423 8.600482 -0.000042 
46 56.250000 0.000000 75.750000 99.626888 0.030878 8.695011 -0.000112 
47 35.625000 0.000000 -18.937500 99.605451 -0.160548 8.470416 0.000698 
48 35.625000 0.000000 -37.875000 99.600684 -0.074269 8.649148 0.000489 
49 56.250000 0.000000 -18.937500 99.627341 -0.094825 8.504161 0.000206 
50 35.625000 0.000000 0.000000 99.619340 0.420034 8.620910 0.000149 
51 -5.625000 0.000000 18.937500 99.680610 0.097640 8.715589 -0.001219 
52 -26.250000 0.000000 18.937500 99.633440 0.025374 8.724083 -0.000293 
53 15.000000 0.000000 18.937500 99.773338 0.229328 8.522783 -0.002741 
54 -5.625000 0.000000 37.875000 99.649069 0.053023 8.705505 -0.000573 
55 4.687500 0.000000 -9.468750 99.366071 -0.449265 8.658156 0.005122 
56 -5.625000 0.000000 -9.468750 99.546100 -0.138708 8.761382 0.001379 
57 4.687500 0.000000 -18.937500 99.501155 -0.176662 8.667191 0.002437 
58 15.000000 0.000000 -9.468750 99.271481 -0.613603 8.118951 0.007888 
59 4.687500 0.000000 0.000000 99.651587 0.000041 1.988161 0.006561 
60 35.625000 0.000000 18.937500 99.672578 0.162960 8.392837 -0.000509 
61 56.250000 0.000000 18.937500 99.658437 0.102319 8.341230 -0.000139 
62 35.625000 0.000000 37.875000 99.647322 0.079162 8.634056 -0.000414 
63 25.312500 0.000000 -9.468750 99.580609 -0.576083 7.955495 0.002008 
64 25.312500 0.000000 -18.937500 99.561031 -0.220991 8.468109 0.001584 
65 35.625000 0.000000 -9.468750 99.653012 -0.253651 8.095475 0.000368 
