Name, Theo_Area, Wet_Area, Theo_Vol, Wet_Vol
VStab_S_Surf0,Upper Rudder,10.281646,5.100876
VStab_S_Surf1,Lower Rudder,11.124588,5.593450
VStab_S_Surf1,Upper Rudder,10.281646,5.182726
HStab_S_Surf0,Inboard Elevators,8.516236,8.516236
HStab_S_Surf0,Outboard Elevators,15.077496,15.077496
HStab_S_Surf1,Inboard Elevators,8.516236,8.516236
HStab_S_Surf1,Outboard Elevators,15.077496,15.077496

SS_Name, SS_Theo_Area, SS_Wet_Area
Main Wing,Inboard flaps,46.656376,46.178255
Main Wing,Flaperons,48.677272,48.677272
Main Wing,Ailerons,47.576274,47.576274
Main Wing,LE Slats,50.067503,50.033347
VStab,Lower Rudder,22.249175,11.103215
VStab,Upper Rudder,20.563293,10.283602
HStab,Inboard Elevators,17.032473,17.032473
HStab,Outboard Elevators,30.154991,30.154991
