WARNING: 3 open meshes merged
     Merged: Main Wing
     Merged: HStab
     Merged: LERX
...Mass Properties...
26 Num Comps
26 Total Num Meshes
20880 Total Num Tris

1.347825348297244e+03             Total Mass
2.856752122689354e+01 -3.137247868526453e-03 2.951409946494702e-01       Center of Gravity
2.502444233302613e+04 2.415018042169544e+05 2.611639724962569e+05       Ixx, Iyy, Izz
8.815095761866786e+01 -1.561024185925985e+03 5.335253716364752e+01       Ixy, Ixz, Iyz
1.347825348297244e+03             Volume

Name	Mass	cgX	cgY	cgZ	Ixx	Iyy	Izz	Ixy	Ixz	Iyz	Volume
2.093762966360390e+01	4.131111611077140e+02	1.218488014284119e+01	-1.118971627776886e-02	5.231039726130592e-01	1.600102850861663e+03	1.903826177045421e+04	1.937842595174844e+04	9.681501367891631e+00	-2.086792239386818e+01	2.830409384963207e+01	4.131111611077140e+02
2.372928695208442e+01	4.951553716516939e+02	1.409771760172503e+01	-9.335648866244604e-03	4.761421160978673e-01	2.207567458252425e+03	2.842088724243740e+04	2.911479684821831e+04	1.846790662553210e+01	-2.454505103497444e+02	3.006349393650195e+01	4.951553716516939e+02
2.652094424056494e+01	5.828102702153622e+02	1.596617587453238e+01	-7.931563529700125e-03	4.225092375267352e-01	3.102291730100016e+03	4.018677786760640e+04	4.151563689648662e+04	2.655044230536927e+01	-5.760774433980383e+02	3.304573750604172e+01	5.828102702153622e+02
2.931260152904546e+01	6.907861318862034e+02	1.805233792057252e+01	-6.691791381729713e-03	3.712050599094471e-01	4.904974853944465e+03	5.674622634929128e+04	5.956364126003576e+04	3.516999852528288e+01	-9.760421850598010e+02	3.632757897655575e+01	6.907861318862034e+02
3.210425881752597e+01	8.201036891895781e+02	2.026810662124741e+01	-5.636600279827644e-03	3.291753322712920e-01	9.217165045796870e+03	7.864682212302198e+04	8.541152612582807e+04	4.422117935274149e+01	-1.384980191461874e+03	3.964319911757011e+01	8.201036891895781e+02
3.489591610600650e+01	9.511506008400481e+02	2.228348594760865e+01	-4.860005008555860e-03	3.017696391166161e-01	1.661320447384401e+04	1.032282653708265e+05	1.170059344322910e+05	5.309954392106918e+01	-1.714355132235474e+03	4.283805235391900e+01	9.511506008400481e+02
3.768757339448701e+01	1.047130860434109e+03	2.369542820604621e+01	-4.414535812703667e-03	2.856541711498918e-01	2.176391642702659e+04	1.242430870936248e+05	1.428279408184457e+05	5.856509557889551e+01	-1.951076439983837e+03	4.653254302599863e+01	1.047130860434109e+03
4.047923068296753e+01	1.114768929570750e+03	2.471377735643638e+01	-4.146685973525947e-03	2.740912650136398e-01	2.244400675546397e+04	1.423916647459170e+05	1.613737315490364e+05	6.218439115000996e+01	-2.154634349578034e+03	4.994965872050568e+01	1.114768929570750e+03
4.327088797144805e+01	1.176380804807597e+03	2.568568915514637e+01	-3.929507065299036e-03	2.701962831351527e-01	2.267628837504896e+04	1.627137783620324e+05	1.816956330342653e+05	6.619151607432309e+01	-2.235801688557418e+03	5.106308910658890e+01	1.176380804807597e+03
4.606254525992858e+01	1.244181784290220e+03	2.679611435195060e+01	-3.715370810231444e-03	2.764772521212838e-01	2.302891917637637e+04	1.896178106730923e+05	2.086002736830535e+05	7.065582583181725e+01	-2.085850019379257e+03	5.217551211730168e+01	1.244181784290220e+03
4.885420254840910e+01	1.318149765990943e+03	2.803390409797541e+01	-3.506882755844192e-03	2.891680410024836e-01	2.374622278612947e+04	2.240105076269831e+05	2.431055471139784e+05	7.563836997844071e+01	-1.738170191407635e+03	5.401956563354739e+01	1.318149765990943e+03
5.164585983688961e+01	1.341189807188729e+03	2.843952933466371e+01	-3.336561054654085e-03	2.974335550466334e-01	2.466078794392051e+04	2.369845663351772e+05	2.563703057969724e+05	8.121615158623102e+01	-1.481033907302294e+03	5.393228558484594e+01	1.341189807188729e+03
5.443751712537013e+01	1.347825348297243e+03	2.856752122689354e+01	-3.137247868525401e-03	2.951409946494701e-01	2.502444233302601e+04	2.415018042169533e+05	2.611639724962576e+05	8.815095761864396e+01	-1.561024185925980e+03	5.335253716364689e+01	1.347825348297243e+03
