WARNING: 3 open meshes merged
     Merged: Main Wing
     Merged: HStab
     Merged: LERX
...Mass Properties...
5 Num Comps
5 Total Num Meshes
10032 Total Num Tris

5.032044705681528e+02             Total Mass
8.159986541031964e+00 -3.485963423431408e-17 1.396200749346529e-01       Center of Gravity
2.128451172124355e+04 4.423594284161805e+04 6.388061443685833e+04       Ixx, Iyy, Izz
-3.519908500983295e+00 6.477758681033853e+02 4.026641174243937e+01       Ixy, Ixz, Iyz
5.032044705681528e+02             Volume

Name	Mass	cgX	cgY	cgZ	Ixx	Iyy	Izz	Ixy	Ixz	Iyz	Volume
Main Wing	2.757475183684273e+02	5.496363706500055e+00	2.686904817375978e-15	1.796618561048646e-01	1.807552832513004e+04	4.537536776868196e+03	2.251088988692227e+04	-3.032464096710610e-01	6.443417772493396e+01	2.411786426602288e+01	2.757475183684273e+02
VStab	3.708764566987546e+01	2.052354031916868e+01	2.595117417605721e-16	3.333399360711673e+00	2.404308509590172e+02	7.499560112082211e+02	5.136729304041208e+02	7.286437414067227e-01	2.162834920800783e+02	1.063059179168902e-01	3.708764566987546e+01
VStab	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00
HStab	6.957623950378130e+01	2.247202989373613e+01	2.616936145688504e-16	-1.160613561784817e+00	1.420688565349028e+03	8.793015251352082e+02	2.286122839303125e+03	-2.754791417003637e+00	-9.344046195821374e+00	5.098721214763491e+00	6.957623950378130e+01
LERX	1.207930670260699e+02	2.200821093289622e+00	2.444252868613575e-16	-1.834598031492038e-01	1.038884922527723e+03	1.139346710656215e+04	1.240322641566239e+04	-1.190514415716541e+00	3.535516454697746e+00	1.094352034373605e+01	1.207930670260699e+02
Name	Mass	cgX	cgY	cgZ	Ixx	Iyy	Izz	Ixy	Ixz	Iyz	Volume
Totals	5.032044705681528e+02	8.159986541031964e+00	-3.485963423431408e-17	1.396200749346529e-01	2.128451172124355e+04	4.423594284161805e+04	6.388061443685833e+04	-3.519908500983295e+00	6.477758681033853e+02	4.026641174243937e+01	5.032044705681528e+02

...Filling Mass Properties (Volume Only -- No Shell or Point Mass)...
10 Num Slice

Slice	Mass	cgX	cgY	cgZ	Ixx	Iyy	Izz	Ixy	Ixz	Iyz	Volume
-1.121841160002913e+01	7.500988948540730e+00	-1.121841160002911e+01	1.716097377341641e-16	-4.630624554644167e-02	6.417028385774808e+00	2.913106263279731e+01	3.424932140580652e+01	1.841415834923287e-01	-2.710663549342792e-01	1.405965771244938e-01	7.500988948540730e+00
-6.949234800087376e+00	3.621508673786214e+01	-7.833480866582359e+00	3.942238834787633e-16	-1.110043880181972e-01	1.684797920080256e+02	2.524809821948785e+02	4.078118596631290e+02	-7.479504040579735e-01	-3.791425780317104e+00	6.769069040776285e+00	3.621508673786214e+01
-2.680058000145626e+00	7.654760150124946e+01	-5.118170396153780e+00	8.208286391463988e-17	-1.382252412561720e-01	5.263638669702621e+02	9.182221891878559e+02	1.419770171252289e+03	-3.698177503029401e-01	-1.053429084262334e+01	1.021010624371504e+01	7.654760150124946e+01
1.589118799796126e+00	1.587009009830126e+02	-1.646066995274861e+00	-3.376073545904039e-16	-3.496136100427281e-02	1.950384166893460e+03	3.034931757270229e+03	4.916304895234477e+03	-3.667929823364098e+00	4.030039614388645e+01	2.148400952640155e+01	1.587009009830126e+02
5.858295599737875e+00	2.816674675845650e+02	1.630085947609056e+00	1.945344444954096e-15	4.034137143453597e-02	8.571391148414270e+03	7.431716244952858e+03	1.587781218892510e+04	2.430069442925120e-01	1.271664132204922e+02	3.306348075026250e+01	2.816674675845650e+02
1.012747239967963e+01	3.715535919175118e+02	3.685770919443442e+00	3.017908987693289e-15	8.006781775573288e-02	1.880899138884790e+04	1.270519513054137e+04	3.136484517672145e+04	-8.150658199274217e-01	2.208291822953449e+02	3.431369994971532e+01	3.715535919175118e+02
1.439664919962138e+01	3.903668841065735e+02	4.201969631195459e+00	2.813734626882962e-15	7.679975015040058e-02	1.911170423842615e+04	1.483363471215746e+04	3.379058490600914e+04	-1.437981088039300e+00	2.072772619324374e+02	3.502639630137186e+01	3.903668841065735e+02
1.866582599956313e+01	4.346053671097263e+02	5.674245660291363e+00	2.478512616571980e-15	9.283088456246445e-02	1.932324601203916e+04	2.344453445913398e+04	4.235273983396998e+04	-2.243883418087576e+00	2.964058714295400e+02	3.799707487055530e+01	4.346053671097263e+02
2.293500279950488e+01	4.875659851580564e+02	7.549151609233910e+00	2.682693814267840e-15	1.383218853136465e-01	2.034649203908711e+04	3.814117718255727e+04	5.721118732013723e+04	-3.420889720531148e+00	6.356974155894898e+02	4.019052246649736e+01	4.875659851580564e+02
2.720417959944664e+01	5.032044705681527e+02	8.159986541031968e+00	2.607264307167720e-15	1.396200749346528e-01	2.128451172124351e+04	4.423594284161804e+04	6.388061443685822e+04	-3.519908500979893e+00	6.477758681033862e+02	4.026641174243933e+01	5.032044705681527e+02
